ID,Elevation,Slope,Ruggedness_Index,Forest_Age_Structure,Dis_Power_Lines,Dis_Log_Power_Lines,Dis_All_Roads,Dis_Log_All_Roads,Dis_All_Big_Roads,Dis_All_Log_Big_Roads,Dis_To_Mine,Dis_To_Log_Mine,Dis_Small_Roads,Dis_Log_Small_Roads,Broad_Leaved_Forest,Coniferous_Forest,Clear_Cut_Forest,Young_Forest,Mire,Lake,Flat_Areas,NE_Slop,SE_Slop,SW_Slop,NW_Slop,Pellet_Found_2009,Pellet_Found_2010
199,485,3.293986,0.000300831,60,3046,8.021912779,651,6.480044562,1702,7.440146681,2470,7.812378206,651,6.480044562,0,1,0,0,0,0,0,1,0,0,0,0,0
200,477,5.936462,0.000613954,70,3008,8.009363077,570,6.34738921,1711,7.445417557,2551,7.844632644,570,6.34738921,0,1,0,0,0,0,0,1,0,0,0,0,0
201,466,8.726832,0.001334826,70,2973,7.997663127,492,6.200509174,1726,7.454141078,2634,7.876638461,492,6.200509174,0,1,0,0,0,0,0,1,0,0,0,0,0
202,448,14.01735,0.000613319,70,2941,7.986844901,400,5.993961427,1746,7.46565531,2718,7.908019445,400,5.993961427,0,1,0,0,0,0,0,1,0,0,0,0,0
203,428,12.61201,0.000764423,68,2899,7.972466016,300,5.707110265,1767,7.477604243,2804,7.939158818,300,5.707110265,0,1,0,0,0,0,0,1,0,0,0,0,0
204,415,6.482894,0.001256307,73,2828,7.947678571,200,5.303304908,1784,7.487173694,2890,7.969357742,200,5.303304908,1,0,0,0,0,0,0,1,0,0,0,1,0
205,410,1.910344,0.000810623,77,2757,7.922261058,100,4.615120517,1806,7.499423291,2976,7.998671361,100,4.615120517,0,1,0,0,0,0,0,1,0,0,0,0,0
206,408,3.778853,0.001545482,58,2687,7.896552702,0,0,1802,7.497207223,3064,8.027802848,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
207,418,8.448629,0.000519011,57,2616,7.869783903,70,4.262679877,1772,7.480428306,3153,8.056426768,70,4.262679877,0,1,0,0,0,0,0,0,0,1,0,0,0
208,425,6.857466,0.000771099,77,2545,7.842278779,158,5.068904202,1739,7.461640392,3242,8.084254106,158,5.068904202,0,1,0,0,0,0,0,0,0,1,0,0,0
209,428,4.069808,0.000512547,77,2474,7.813995675,250,5.525452939,1710,7.444833274,3332,8.111628078,250,5.525452939,0,1,0,0,0,0,0,0,0,1,0,0,1
210,429,3.762623,0.000190841,77,2404,7.785305183,335,5.81711116,1686,7.430707083,3422,8.138272639,335,5.81711116,0,1,0,0,0,0,0,0,0,1,0,0,0
211,430,3.646971,0.000549211,77,2333,7.755338813,427,6.059123196,1662,7.416378479,3513,8.164510269,427,6.059123196,0,1,0,0,0,0,0,0,0,1,0,0,0
212,430,1.358634,0.001187748,66,2262,7.724446646,430,6.06610809,1628,7.395721609,3604,8.19007705,430,6.06610809,0,1,0,0,0,0,0,0,1,0,0,0,0
213,428,2.700635,0.001080725,33,2192,7.693025748,380,5.942799375,1597,7.376508126,3696,8.215276959,380,5.942799375,0,0,0,1,0,0,0,1,0,0,0,0,0
214,345,4.714065,0.000176112,85,4577,8.429017501,100,4.615120517,2823,7.945909599,1838,7.516977225,100,4.615120517,0,1,0,0,0,0,0,0,0,1,0,1,1
215,349,6.047817,9.38E-05,57,4513,8.414938957,158,5.068904202,2785,7.932362154,1802,7.497207223,158,5.068904202,0,1,0,0,0,0,0,0,0,1,0,1,0
216,353,6.654761,0.000208431,57,4451,8.401108712,111,4.718498871,2751,7.920083199,1772,7.480428306,111,4.718498871,0,1,0,0,0,0,0,0,0,1,0,1,1
217,362,4.415459,0.000182364,57,4390,8.387312271,50,3.931825633,2720,7.908754739,1746,7.46565531,50,3.931825633,0,1,0,0,0,0,0,0,0,1,0,1,0
218,365,4.756999,3.51E-05,22,4327,8.372860821,0,0,2692,7.898411093,1726,7.454141078,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
219,368,5.11109,6.41E-05,13,4263,8.357962966,0,0,2640,7.878912912,1711,7.445417557,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
220,374,5.685719,2.11E-05,13,4201,8.343315881,50,3.931825633,2580,7.8559322,1702,7.440146681,50,3.931825633,0,0,1,0,0,0,0,0,0,1,0,0,1
221,380,5.667883,2.29E-05,13,4140,8.328692584,0,0,2523,7.833600224,1700,7.438971592,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
222,387,4.887652,5.03E-05,13,4080,8.314097335,50,3.931825633,2469,7.81197343,1702,7.440146681,50,3.931825633,0,0,1,0,0,0,0,0,0,1,0,0,0
223,393,5.267519,3.84E-05,14,4022,8.299783172,70,4.262679877,2418,7.791109511,1711,7.445417557,70,4.262679877,0,0,0,1,0,0,0,0,0,1,0,1,0
224,398,4.916666,3.19E-05,85,3966,8.285765421,100,4.615120517,2370,7.771067086,1726,7.454141078,100,4.615120517,0,0,0,0,1,0,0,0,0,1,0,1,0
225,403,5.193815,4.17E-05,85,3911,8.271804031,100,4.615120517,2325,7.751905333,1746,7.46565531,100,4.615120517,0,1,0,0,0,0,0,0,0,1,0,0,0
226,408,5.051153,5.70E-05,85,3858,8.258163362,111,4.718498871,2280,7.732369222,1772,7.480428306,111,4.718498871,0,1,0,0,0,0,0,0,0,1,0,0,0
227,414,4.648908,7.87E-05,85,3807,8.244859396,150,5.017279837,2238,7.713784617,1802,7.497207223,150,5.017279837,0,1,0,0,0,0,0,0,0,1,0,0,0
228,417,4.222151,7.27E-05,55,3802,8.243545508,206,5.332718793,2247,7.717796211,1884,7.5416831,206,5.332718793,0,1,0,0,0,0,0,0,0,1,0,1,0
229,424,2.560639,3.12E-05,58,3712,8.219595454,212,5.361292166,2166,7.681099002,1878,7.538494999,212,5.361292166,0,1,0,0,0,0,0,0,0,1,0,0,0
230,428,2.753145,7.15E-05,59,3667,8.207401833,291,5.676753802,2127,7.66293785,1923,7.562161631,291,5.676753802,0,1,0,0,0,0,0,0,0,1,0,0,0
231,433,4.36445,4.88E-05,55,3624,8.195609567,380,5.942799375,2089,7.644919345,1972,7.587310506,380,5.942799375,0,1,0,0,0,0,0,0,0,1,0,0,0
232,441,4.560558,8.09E-05,41,3584,8.184513753,474,6.163314804,2055,7.628517627,2024,7.61332498,474,6.163314804,0,1,0,0,0,0,0,0,0,1,0,1,0
233,447,5.867916,4.95E-05,65,3546,8.173857455,570,6.34738921,2026,7.614312146,2080,7.640603826,570,6.34738921,0,1,0,0,0,0,0,0,0,1,0,1,0
234,451,5.456614,7.92E-05,69,3558,8.177234886,672,6.51174533,2050,7.626082758,2180,7.687538766,672,6.51174533,0,1,0,0,0,0,0,0,0,1,0,1,0
235,461,5.939868,0.000119527,69,3478,8.154500175,651,6.480044562,1981,7.591861715,2202,7.697575347,651,6.480044562,0,1,0,0,0,0,0,0,0,1,0,0,0
236,468,4.542678,5.34E-05,69,3494,8.159088655,559,6.327936784,2015,7.608870629,2304,7.742835955,559,6.327936784,0,1,0,0,0,0,0,0,0,1,0,1,0
237,478,5.178162,2.61E-05,69,3415,8.136225555,570,6.34738921,1955,7.578656851,2334,7.75576717,570,6.34738921,0,1,0,0,0,0,0,0,0,1,0,1,0
238,486,4.820669,0.000140402,62,3383,8.126813721,552,6.315358002,1950,7.576097341,2404,7.785305183,552,6.315358002,0,1,0,0,0,0,0,0,0,1,0,0,0
239,491,0.4529535,0.000922415,41,3352,8.117610746,552,6.315358002,1950,7.576097341,2475,7.814399634,552,6.315358002,0,1,0,0,0,0,0,0,0,1,0,0,1
240,488,2.263636,0.00039249,60,3315,8.106514516,570,6.34738921,1950,7.576097341,2549,7.843848638,570,6.34738921,0,1,0,0,0,0,0,0,1,0,0,1,1
241,483,2.308417,0.000627412,46,3324,8.109224953,559,6.327936784,2002,7.602401336,2657,7.885329239,559,6.327936784,0,0,0,1,0,0,0,0,1,0,0,1,0
242,483,0.2025703,0.000215424,46,3289,8.098642844,610,6.415096959,2009,7.605890001,2733,7.913521017,610,6.415096959,0,1,0,0,0,0,0,1,0,0,0,1,0
243,481,2.308417,0.00048044,60,3252,8.087332926,559,6.327936784,2022,7.612336837,2811,7.941651253,559,6.327936784,0,1,0,0,0,0,0,1,0,0,0,1,0
244,479,3.161052,0.002199173,71,3146,8.054204897,447,6.104793232,1990,7.596392304,2860,7.958926493,447,6.104793232,0,1,0,0,0,0,0,1,0,0,0,1,0
245,475,5.895432,0.00396347,66,3111,8.043020885,380,5.942799375,2061,7.631431665,2970,7.996653875,380,5.942799375,0,1,0,0,0,0,0,1,0,0,0,1,0
